קוד בנק,שם בנק,קוד סניף,שם סניף,כתובת סניף,יישוב,מיקוד,ת.ד,טלפון,פקס,טלפון חינם,גישה לנכים,יום סגור,סיווג הסניף,תאריך פתיחה,תאריך סגירה,בנק ממזג,סניף ממזג,קואורדינטת X,קואורדינטת Y
4,בנק יהב לעובדי המדינה בע"מ,135,סניפון וולפסון- חולון,הלוחמים 62 בית חולים וולפסון,חולון,5822012,36333,02-5009911,,,כן,יום ו,מיוחד,31/12/2002,,,,32.013793,34.777206
4,בנק יהב לעובדי המדינה בע"מ,136,ראשון לציון,ישראל גלילי 3 קרית הלאום,ראשון לציון,7542602,36333,02-5009911,,,כן,יום א,רגיל,01/10/2004,,,,31.969375,34.781732
4,בנק יהב לעובדי המדינה בע"מ,137,אסף הרופא,ביה"ח אסף הרופא 1 מרכז מסחרי אסף סנטר,באר יעקב,7030094,36333,02-5009911,,,כן,יום ו,רגיל,06/01/2008,,,,31.96603,34.839411
4,בנק יהב לעובדי המדינה בע"מ,138,חדרה,הנשיא  ויצמן 21 ,חדרה,3842339,36333,02-5009911,,,כן,יום ו,רגיל,22/05/2000,,,,32.440104,34.918652
4,בנק יהב לעובדי המדינה בע"מ,140,חיפה,נתנזון 22 ,חיפה,3303509,36333,02-5009911,,,כן,יום ו,רגיל,01/02/1949,,,,32.816335,35.001831
4,בנק יהב לעובדי המדינה בע"מ,141,נהרייה,הרצל 64 מרכז הגעתון,נהרייה,2240113,36333,02-5009911,,,כן,יום א,רגיל,01/09/2000,,,,33.006974,35.096238
4,בנק יהב לעובדי המדינה בע"מ,142,נוף הגליל,הגלבוע 1 מתחם מול ההרים,נוף הגליל                ,1767303,36333,02-5009911,,,כן,יום ו,רגיל,01/06/2001,,,,32.703579,35.318626
4,בנק יהב לעובדי המדינה בע"מ,144,אוניברסיטת חיפה,אבא חושי 199 אוניברסיטת חיפה,חיפה,3498838,36333,02-5009911,,,כן,יום ו,מיוחד,05/04/2016,,,,32.76143,35.019518
4,בנק יהב לעובדי המדינה בע"מ,145,קרנות השתלמות,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,30/11/1994,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,146,תוכניות חסכון,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,30/11/1994,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,148,אשראי,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,22/11/1992,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,149,הנהלה ראשית,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/12/1985,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,150,באר יעקב,מאיר דיזינגוף 1 ,באר יעקב,7030094,36333,02-5009911,,,כן,יום ו,מיוחד,01/09/2010,,,,31.943507,34.83904
4,בנק יהב לעובדי המדינה בע"מ,171,בת ים,בלפור 72 ,בת ים,5963105,36333,02-5009911,,,כן,יום א,רגיל,01/09/2011,,,,32.021048,34.74533
4,בנק יהב לעובדי המדינה בע"מ,193,מעלה אדומים,דרך קדם 5 קניון אדומים,מעלה אדומים,9845203,36333,02-5009911,,,כן,יום א,רגיל,22/11/2011,,,,31.778717,35.316229
4,בנק יהב לעובדי המדינה בע"מ,195,איכלוב,ויצמן 14 ביה"ח איכילוב,תל אביב -יפו,6423914,36333,02-5009911,,,כן,יום ו,מיוחד,30/06/2011,,,,32.080584,34.789755
4,בנק יהב לעובדי המדינה בע"מ,201,שלוחה בהדסה,ת. דואר 12000 קרית הדסה 0 בית חולים הדסה עין כרם,ירושלים,9112000,36333,02-5016815,,,כן,יום ו,מיוחד,16/06/2019,,,,31.76495,35.149411
4,בנק יהב לעובדי המדינה בע"מ,204,תלפיות,יד חרוצים 19 ,ירושלים,9342156,36333,02-6219570,,,כן,יום א,מיוחד,15/05/2022,,,,31.751235,35.216216
4,בנק יהב לעובדי המדינה בע"מ,205,דימונה,קניון פרץ סנטר 1 קניון פרץ סנטר,דימונה,8201085,36333,08-6983974,,,כן,יום ו,מיוחד,05/12/2018,,,,31.059911,35.020253
4,בנק יהב לעובדי המדינה בע"מ,206,ראש העין,שייקה אופיר 3 מתחם שפיר סנטר,ראש העין,4813900,36333,03-6276611,,,כן,יום א,מיוחד,20/02/2023,,,,32.086121,34.979786
4,בנק יהב לעובדי המדינה בע"מ,207,קרית אתא,העצמאות 37 קניון כפיר,קריית אתא,4813900,36333,04-8684321,,,כן,יום א,מיוחד,29/06/2023,,,,32.803578,35.103537
4,בנק יהב לעובדי המדינה בע"מ,233,רמב"ם,רח' העליה השנייה 8 בית החולים רמב"ם,חיפה,3525402,36333,02-5009911,,,כן,יום ו,רגיל,12/06/2002,,,,32.832988,34.985707
4,בנק יהב לעובדי המדינה בע"מ,236,גלילות,צומת גלילות 1 בניין רב מכר  סינמה סיטי,רמת השרון,,36333,02-5009911,,,כן,יום ו,רגיל,04/03/2008,,,,32.146421,34.804749
4,בנק יהב לעובדי המדינה בע"מ,245,עפולה,יהשוע חנקין 14 קניון העמקים,עפולה,1825416,36333,02-5009911,,,כן,יום א,רגיל,04/08/2008,,,,32.603528,35.294031
4,בנק יהב לעובדי המדינה בע"מ,246,סניף טבריה,יהודה הלוי 4 מתחם בזלת,טבריה,1424628,36333,02-5009911,,,כן,יום ו,רגיל,03/09/2008,,,,32.789854,35.533358
4,בנק יהב לעובדי המדינה בע"מ,278,סניף רחובות,הלל וחנן אופנהיימר 2 מרכז מסחרי,רחובות,7670102,36333,02-5009911,,,כן,יום א,רגיל,11/11/2008,,,,31.909411,34.805498
4,בנק יהב לעובדי המדינה בע"מ,279,קריית ביאליק,ויצמן 27 ,קריית ביאליק,2703929,36333,02-5009911,,,כן,יום א,רגיל,24/11/2008,,,,32.8034,35.081131
4,בנק יהב לעובדי המדינה בע"מ,280,כרמיאל,מעלה כמון 5 קניון חוצות כרמיאל,כרמיאל,2165006,36333,02-5009911,,,כן,יום א,רגיל,29/12/2008,,,,32.927988,35.326143
4,בנק יהב לעובדי המדינה בע"מ,281,אילת,פתן 5 ,אילת,8801306,36333,02-5009911,,,כן,יום ו,רגיל,07/07/2008,,,,29.55653,34.9537
4,בנק יהב לעובדי המדינה בע"מ,284,חולון,צבי תדמור 12 מתחם נתנאל בשדרה,חולון,5834332,36333,02-5009911,,,כן,יום א,רגיל,29/01/2009,,,,32.013793,34.777206
4,בנק יהב לעובדי המדינה בע"מ,311,כרמל,שד' מוריה 44 ,חיפה,3457208,36333,02-5009911,,,כן,יום א,רגיל,22/08/2012,,,,32.798027,34.98439
4,בנק יהב לעובדי המדינה בע"מ,401,רמת גן,דרך בן גוריון 10 ,רמת גן,7527113,36333,02-5009911,,,כן,יום ו,רגיל,05/08/2012,,,,32.094848,34.821762
4,בנק יהב לעובדי המדינה בע"מ,430,לב ראשון,הרצל 52 ,ראשון לציון,3846201,36333,02-5009911,,,כן,יום א,רגיל,24/12/2012,,,,31.966277,34.802572
4,בנק יהב לעובדי המדינה בע"מ,461,בית שמש,יגאל אלון 3 קניון ביג פאשן,בית שמש,9906203,36333,02-5009911,,,כן,יום א,רגיל,20/09/2013,,,,31.756503,34.989617
4,בנק יהב לעובדי המדינה בע"מ,488,משכנות האומה,שד' יצחק רבין 10 סינימה סיטי,ירושלים,9543501,36333,02-5009911,,,כן,יום ו,רגיל,19/03/2014,,,,31.782982,35.202022
4,בנק יהב לעובדי המדינה בע"מ,497,פסגת זאב,שד' משה דיין 166 שכונת פסגת זאב,ירושלים,9781609,36333,02-5009911,,,כן,יום א,רגיל,10/12/2021,,,,31.820497,35.239889
4,בנק יהב לעובדי המדינה בע"מ,724,נתיבות,בעלי המלאכה 0 צים סנטר,נתיבות,3498838,36333,08-9198430,,,כן,יום ו,מיוחד,03/12/2018,,,,31.418213,34.595217
4,בנק יהב לעובדי המדינה בע"מ,725,יקנעם עילית,התמר 2 קניון G,יקנעם עילית,2068701,36333,04-6773924,,,כן,יום ו,מיוחד,04/11/2019,,,,32.659583,35.105129
4,בנק יהב לעובדי המדינה בע"מ,824,שדרות,אבני החושן 4 דרך מנחם בגין,שדרות,8201085,36333,08-6983573,,,כן,יום ו,מיוחד,04/12/2018,,,,31.522694,34.595581
4,בנק יהב לעובדי המדינה בע"מ,825,מגדל העמק,שאול עמור 77 מתחם פרץ סנטר,מגדל העמק,2353021,36333,04-8756642,,,כן,יום ו,מיוחד,03/11/2019,,,,32.678267,35.243565
4,בנק יהב לעובדי המדינה בע"מ,924,דימונה,קניון פרץ סנטר 1 קניון פרץ סנטר,דימונה,8201085,36333,08-6983974,,,כן,יום ו,מיוחד,05/12/2018,,,,31.06,35.02
4,בנק יהב לעובדי המדינה בע"מ,925,דלית אל כרמל,קניון עלי מול 0 קניון עלי מול כביש עוקף דליה,דאלית אל-כרמל,3005600,36333,04-8676687,,,כן,יום ו,מיוחד,05/11/2019,,,,32.699101,35.059491
10,בנק לאומי לישראל בע"מ,68,מודיעין משכנתאות,צאלון 21 ,מודיעין-מכבים-רעות*,7171515,0,03-9545522,,*5522,כן,יום א,מיוחד,26/01/2021,02/10/2022,10001,680,35.016727,31.905731
10,בנק לאומי לישראל בע"מ,80,שלוחת קש"ב,אבא הלל סילבר 3 ,לוד,7129404,0,03-9545522,,*5522,כן,יום ו,מיוחד,06/05/1991,17/06/2021,10001,936,34.902452,31.962574
10,בנק לאומי לישראל בע"מ,103,שלוחת תושבי חוץ (ביאליק),אבן גבירול 71 סניף כיכר רבין,תל אביב -יפו,6416202,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/2021,,10001,803,34.781203,32.082662
10,בנק לאומי לישראל בע"מ,104,משכנתאות קרית הממשלה,נתנזון 24 ,חיפה,3309501,0,076-8670285,,*5522,כן,יום ש,מיוחד,25/02/2007,,10001,882,35.001919,32.816372
10,בנק לאומי לישראל בע"מ,105,שלוחת ביתר עילית,הר"ן 14 ,ביתר עילית,9056514,0,03-9545522,,*5522,כן,יום ו,מיוחד,30/03/2022,,,,35.11762,31.70389
10,בנק לאומי לישראל בע"מ,164,שלוחת רמת בית שמש,נחל זהר 3 ,בית שמש,9909603,0,03-9545522,,*5522,כן,יום ו,מיוחד,05/05/2008,,,,34.987941,31.714306
10,בנק לאומי לישראל בע"מ,281,מרכז החתמת משכנתא קש"ב לוד,יודפת 1 קש"ב לוד,לוד,7129404,0,03-9545522,,*5522,כן,יום ו,מיוחד,25/10/2021,,,,34.900407,31.961332
10,בנק לאומי לישראל בע"מ,435,שלוחת חריש,דרך ארץ 46 ,חריש,3761120,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/06/2022,,,,35.04396,32.46269
10,בנק לאומי לישראל בע"מ,501,משכנתאות כיכר השבת,מאה שערים 2 ככר השבת,ירושלים,9526202,0,03-9545522,,*5522,כן,יום ש,מיוחד,15/01/2012,,10001,911,35.218536,31.7883
10,בנק לאומי לישראל בע"מ,509,משכנתאות הנביאים,חורי 2 מגדל הנביאים,חיפה,3304510,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/06/2008,,10001,887,34.997597,32.815895
10,בנק לאומי לישראל בע"מ,512,משכנתאות - רמות אשכול,פארן 7 רמות אשכול,ירושלים,9780209,0,03-9545522,,*5522,לא,יום א,מיוחד,02/01/2000,24/01/2023,10001,905,35.228297,31.801225
10,בנק לאומי לישראל בע"מ,601,פפר,אחד העם 9 ,תל אביב -יפו,6525101,0,03-9545522,,*5522,כן,יום ש,מיוחד,08/05/2016,,,,34.769607,32.06428
10,בנק לאומי לישראל בע"מ,603,ככר המדינה,ה' באייר 76 ,תל אביב -יפו,6495410,,03-9544555,077-8083603,*5522,לא,יום ו,רגיל,01/02/1949,,,,,
10,בנק לאומי לישראל בע"מ,606,בנקאות פרטית בינלאומית 606 ת"א,דיזנגוף 55 "מגדל על",תל אביב -יפו,6433222,0,03-9545522,,*5522,כן,יום א,מיוחד,01/02/1949,,,,34.774592,32.076219
10,בנק לאומי לישראל בע"מ,607,מרכז עסקים נגב,תורת היחסות 11 בנין 3,באר שבע,8489325,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,,,34.813958,31.264265
10,בנק לאומי לישראל בע"מ,613,קלנסואה,אל קודס 0 ,קלנסווה,4064000,0,03-9545522,,*5522,כן,יום ו,מיוחד,28/03/2016,,,,34.983283,32.284818
10,בנק לאומי לישראל בע"מ,614,בנקאות פרטית הרצליה,המנופים 15 בית לידר אזור תעשיה הרצליה,הרצלייה,4672510,0,03-9545522,,*5522,כן,יום ו,מיוחד,13/11/2016,,,,34.809193,32.159955
10,בנק לאומי לישראל בע"מ,615,כאבול,הכניסה לכפר 0 ,כאבול,2496300,0,03-9545522,,*5522,כן,יום ו,מיוחד,28/03/2016,,,,35.202027,32.870913
10,בנק לאומי לישראל בע"מ,616,המעפילים,השלושה 9 יד אליהו,תל אביב -יפו,6706065,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,814,34.790473,32.062037
10,בנק לאומי לישראל בע"מ,617,מרכז אמידים,הגליל 16 ,נצרת,1641116,,076-8661711,077-2631211,,כן,יום א,רגיל,11/04/2016,,,,,
10,בנק לאומי לישראל בע"מ,618,מרכז עסקים לכיש,צה"ל 3 ,אשדוד,7745400,0,03-9545522,,*5522,כן,יום ו,מיוחד,25/11/1998,,,,34.639148,31.793038
10,בנק לאומי לישראל בע"מ,621,מודיעין עילית,שד' יחזקאל 2 ,מודיעין עילית,7183402,0,03-9545522,,*5522,כן,יום ו,מיוחד,07/06/2016,,,,35.039686,31.936712
10,בנק לאומי לישראל בע"מ,622,צמרת,נסים אלוני 10 ,תל אביב -יפו,6291924,,03-9545522,077-8083622,*5522,כן,יום א,רגיל,10/01/2011,,,,,
10,בנק לאומי לישראל בע"מ,624,עמק ברכה,עמק הברכה 23 ,תל אביב -יפו,6745611,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,666,34.79856,32.076343
10,בנק לאומי לישראל בע"מ,625,נוה אביבים,רב אשי 18 ,תל אביב -יפו,6939551,0,03-9545522,,*5522,כן,יום א,מיוחד,01/02/1949,,10001,631,34.800263,32.120536
10,בנק לאומי לישראל בע"מ,626,בנקאות פרטית דן,דיזינגוף 55 מגדל על קומה 17,תל אביב -יפו,6433222,0,03-9545522,,*5522,כן,יום ו,מיוחד,07/02/2016,,,,34.774592,32.076219
10,בנק לאומי לישראל בע"מ,627,מגדלי דוד,אורי 12 ,תל אביב -יפו,6495410,,03-9545522,077-8083627,*5522,כן,יום ו,מיוחד,01/02/1949,,,,,
10,בנק לאומי לישראל בע"מ,628,רמת אביב ג',אחימאיר 21 ,תל אביב -יפו,6949207,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,631,34.802447,32.124818
10,בנק לאומי לישראל בע"מ,629,בורסת היהלומים,ז'בוטינסקי 1 בנין בורסת היהלומים,רמת גן,5252001,,03-5759922,02-6207555,,לא,יום ש,מיוחד,10/10/1993,,,,,
10,בנק לאומי לישראל בע"מ,631,למד,ברודצקי 43 נכס סניף אינשטיין 833,תל אביב -יפו,6905233,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,,,34.797788,32.111979
10,בנק לאומי לישראל בע"מ,634,פסגת זאב,שדרות משה דיין 106 קניון הפסגה  פסגת זאב,ירושלים,9757041,,03-9545522,077-8083634,*5522,כן,יום א,רגיל,18/12/2006,,10001,905,,
10,בנק לאומי לישראל בע"מ,635,דניה,חורב 14 אחוזה,חיפה,3434120,0,03-9545522,,*5522,כן,יום ו,מיוחד,31/07/2007,,,,34.985881,32.785274
10,בנק לאומי לישראל בע"מ,637,הבאר,מורשת ישראל 15 קניון הבאר נאות שקמה,ראשון לציון,7575603,,03-9545522,077-8083637,*5522,כן,יום א,מיוחד,26/02/2008,,10001,944,,
10,בנק לאומי לישראל בע"מ,638,מבשרת ציון,ארבל 17 ,מבשרת ציון,9075717,0,03-9545522,,*5522,כן,יום ו,מיוחד,21/02/2008,,,,35.152701,31.806127
10,בנק לאומי לישראל בע"מ,639,עסקים קיסריה,תרשיש 5 אזור תעשיה קיסריה,קיסריה,3088900,0,03-9545522,,*5522,כן,יום ו,מיוחד,20/11/2000,,10001,876,34.947708,32.484065
10,בנק לאומי לישראל בע"מ,640,מוקד חשבונות ללא קשר,יודפת 2 קש"ב לוד,לוד,7129404,88,03-9545522,,*5522,לא,יום ו,מיוחד,01/01/2014,,,,34.900407,31.961332
10,בנק לאומי לישראל בע"מ,641,מעלות,דרך האלוף עוזי נרקיס 1 ,מעלות-תרשיחא,2102500,0,03-9545522,,*5522,כן,יום ו,מיוחד,12/05/2009,,,,35.282693,33.019112
10,בנק לאומי לישראל בע"מ,644,כפר כנא,הרחוב הראשי 0 ,כפר כנא,1693000,0,03-9545522,,*5522,כן,יום ו,מיוחד,10/02/2016,,,,35.340461,32.749897
10,בנק לאומי לישראל בע"מ,646,יחידת בצוע-נהול אשראי מרוכז,לילינבלום 12 ,תל אביב -יפו,6513115,0,03-9545522,,*5522,לא,יום ש,יחידת ביצוע,02/01/2002,,,,34.768454,32.061888
10,בנק לאומי לישראל בע"מ,647,עסקים גבעת שאול,כנפי נשרים 35 רחוב רוברטו בקי ירושלים. בניין התאגיד קומה 6,ירושלים,9546448,0,03-9545522,,*5522,כן,יום ו,מיוחד,11/08/2009,,,,35.1816284980739,31.7867250666927
10,בנק לאומי לישראל בע"מ,648,עסקים שרונים,הצורן 4 בנין 10 קומה 4,נתניה,4366505,0,03-9545522,,*5522,כן,יום ו,מיוחד,06/09/2012,,,,34.864977,32.291162
10,בנק לאומי לישראל בע"מ,651,עסקים החרושת,המשביר 1 אזור התעשיה,חולון,5885214,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,767,34.800807,32.015587
10,בנק לאומי לישראל בע"מ,652,כפר קאסם,עלי בן אבו טאלב 0 עלי בן אבו טאלב פינת חאלד בן אל ואליד,כפר קאסם,4881000,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,,,34.968343,32.114454
10,בנק לאומי לישראל בע"מ,653,תל השומר,מרכז מסחרי גמיון תל השומר 0 ,רמת גן,5262000,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,655,34.841288,32.046398
10,בנק לאומי לישראל בע"מ,654,עסקים אלונים,יגאל אלון 65 מגדלי טויוטה,תל אביב -יפו,6789121,,076-8665499,076-8665489,,כן,יום ו,מיוחד,26/11/1997,,10001,800,,
10,בנק לאומי לישראל בע"מ,655,קסם,הירדן 79 ,רמת גן,5233361,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,,,34.828435,32.061691
10,בנק לאומי לישראל בע"מ,657,קרית שרת,קרן היסוד 1 מרכז מסחרי  קרית שרת,חולון,5848922,,03-9545522,077-8083657,*5522,כן,יום ו,רגיל,01/02/1949,,,,,
10,בנק לאומי לישראל בע"מ,660,מכון וייצמן,ככר היובל  מכון וייצמן 0 ,רחובות,7630900,,03-9545522,03-7362943,*5522,כן,יום ו,מיוחד,20/09/2000,,,,,
10,בנק לאומי לישראל בע"מ,661,מרכז שירות ירושלים,יפו 208 בסמוך לסניף שער העיר,ירושלים,9438303,0,03-9545522,,*5522,כן,יום א,מיוחד,03/03/2019,,,,35.206902,31.788006
10,בנק לאומי לישראל בע"מ,662,סיטי אשדוד,שדרות הציונות 13 ,אשדוד,7745614,0,03-9545522,,*5522,כן,יום ו,מיוחד,28/08/2006,,,,34.643142,31.787596
10,בנק לאומי לישראל בע"מ,663,מרכז קופות באר שבע,החלוץ 90 עיר עתיקה באר שבע,באר שבע,8422172,0,03-9545522,,*5522,כן,יום ו,מיוחד,24/02/2022,,,,34.789985,31.239945
10,בנק לאומי לישראל בע"מ,665,אוסישקין,אוסישקין 3 ,רמת השרון,4721003,,03-9545522,077-8083665,*5522,כן,יום ו,מיוחד,01/02/1949,,10001,949,,
10,בנק לאומי לישראל בע"מ,666,עסקים מגדלי פז,שוהם 2 ,רמת גן,5251003,0,03-9545522,,*5522,כן,יום ו,מיוחד,16/02/1984,,,,34.800202,32.084774
10,בנק לאומי לישראל בע"מ,667,אורנית,הערבה 1 ,אורנית,4481300,,03-9545522,077-8083667,*5522,כן,יום א,רגיל,12/06/2006,,,,,
10,בנק לאומי לישראל בע"מ,668,עסקים שורק,שדרות הרצל 84 בנכס סניף רמלה 936,רמלה,7240656,0,03-9545522,,*5522,כן,יום ו,מיוחד,09/01/2022,,,,34.870508,31.929268
10,בנק לאומי לישראל בע"מ,669,היקב,זד"ל 7 ,ראשון לציון,7526658,0,03-9545522,,*5522,כן,יום ו,מיוחד,01/02/1949,,,,34.805175,31.962764
10,בנק לאומי לישראל בע"מ,670,עסקים קרית אריה,ז'בוטינסקי 110 ,פתח תקווה,4959262,,076-8667099,076-8667089,,כן,יום ו,מיוחד,14/09/1994,,,,,
10,בנק לאומי לישראל בע"מ,671,עסקים ראשון לציון,משה לוי 11 אזור תעשיה,ראשון לציון,7565828,0,03-9545522,,*5522,כן,יום ו,מיוחד,28/02/1988,,10001,978,34.774159,31.989216
10,בנק לאומי לישראל בע"מ,672,עסקים עפולה,מנחם בגין 72 קומה 2,עפולה,1871356,0,03-9545522,,*5522,כן,יום ו,מיוחד,10/02/2022,,,,35.29805,32.60271
10,בנק לאומי לישראל בע"מ,673,שלוחת עסקים הברזל,הברזל 28 ,תל אביב -יפו,6971040,0,03-9545522,,*5522,כן,יום ו,מיוחד,07/04/2008,,10001,855,34.840202,32.10916
10,בנק לאומי לישראל בע"מ,676,אור יהודה,אליהו סעדון קניון קניאור 120 ,אור יהודה,6039706,0,03-9545522,,*5522,כן,יום ו,מיוחד,18/06/1991,,,,34.857448,32.025846
10,בנק לאומי לישראל בע"מ,678,לאומי TOP,יודפת 2 קש"ב לוד,לוד,7129404,0,03-9545522,,*5522,כן,יום ו,מיוחד,15/01/1995,,,,34.900407,31.961332
